2021-12-01 12:23:51 configure linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2021-12-01 12:23:51 status unpacked linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:51 status half-configured linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:52 status installed linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:52 configure linux-image-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19 <none>
2021-12-01 12:23:52 status unpacked linux-image-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:52 status half-configured linux-image-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:52 status installed linux-image-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:52 configure linux-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19 <none>
2021-12-01 12:23:52 status unpacked linux-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:52 status half-configured linux-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:52 status installed linux-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:52 trigproc linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2021-12-01 12:23:52 status half-configured linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:24:14 status installed linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:24:17 startup archives unpack
2021-12-01 12:24:17 upgrade xserver-xorg-video-nvidia-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 status half-configured xserver-xorg-video-nvidia-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:17 status unpacked xserver-xorg-video-nvidia-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:17 status half-installed xserver-xorg-video-nvidia-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:17 status unpacked xserver-xorg-video-nvidia-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 upgrade libnvidia-cfg1-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:17 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:17 status half-configured libnvidia-cfg1-470:amd64 470.82.00-0ubuntu0.20.04.1
